City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Lebu,CL,2022-09-20 18:11:52,-37.6167,-73.65,49.8,68,44,7.52
161,Candido Mendes,BR,2022-09-20 18:17:15,-1.4467,-45.7167,82.53,75,83,6.51
162,Busselton,AU,2022-09-20 18:12:26,-33.65,115.3333,57.45,74,4,15.17
163,Rawson,AR,2022-09-20 18:10:47,-43.3002,-65.1023,48.15,92,100,15.01
164,Kupang,ID,2022-09-20 18:17:16,-10.1667,123.5833,77.11,81,13,7.36
165,Khatanga,RU,2022-09-20 18:12:10,71.9667,102.5,22.44,90,98,7.18
166,Cayenne,GF,2022-09-20 18:15:21,4.9333,-52.3333,89.64,66,75,13.8
167,Puerto Ayora,EC,2022-09-20 18:11:54,-0.7393,-90.3518,75.16,91,97,11.01
168,Maumere,ID,2022-09-20 18:17:17,-8.6199,122.2111,78.64,77,43,7.74
169,Alta Floresta,BR,2022-09-20 18:15:50,-9.8756,-56.0861,93.02,43,75,2.3
170,Kharan,PK,2022-09-20 18:17:18,28.5833,65.4167,87.71,12,0,4.14
171,Lasa,IT,2022-09-20 18:14:46,46.6166,10.7002,58.08,69,2,5.88
172,Betsiamites,CA,2022-09-20 18:17:19,48.9413,-68.646,54.0,67,98,10.71
173,Cherskiy,RU,2022-09-20 18:17:20,68.75,161.3,40.62,40,100,14.43
174,Caorle,IT,2022-09-20 18:17:20,45.5966,12.8758,66.16,57,1,1.68
175,Paamiut,GL,2022-09-20 18:17:04,61.994,-49.6678,40.5,82,51,18.61
176,Kaihua,CN,2022-09-20 18:17:21,23.3687,104.28,63.97,93,33,1.99
177,Alihe,CN,2022-09-20 18:17:22,50.5667,123.7167,42.94,60,99,3.67
178,Vitim,RU,2022-09-20 18:17:22,59.4511,112.5578,40.57,98,100,4.29
179,Saint-Leu,RE,2022-09-20 18:17:23,-21.15,55.2833,70.66,75,49,2.55
180,Provideniya,RU,2022-09-20 18:17:23,64.3833,-173.3,38.19,81,25,2.17
181,Tlacolula,MX,2022-09-20 18:17:24,16.9542,-96.4792,72.27,43,100,4.68
182,Inyonga,TZ,2022-09-20 18:17:24,-6.7167,32.0667,77.76,29,7,3.67
183,Husavik,IS,2022-09-20 18:13:36,66.0449,-17.3389,52.74,87,61,5.7
184,Dalvik,IS,2022-09-20 18:17:25,65.9702,-18.5286,60.73,77,86,3.47
185,Asau,RO,2022-09-20 18:17:26,46.4333,26.4,47.32,81,49,5.14
186,Avera,US,2022-09-20 18:17:27,33.194,-82.5271,89.55,40,0,6.11
187,Yugorsk,RU,2022-09-20 18:17:28,61.3133,63.3319,57.58,80,97,10.07
188,Vila Velha,BR,2022-09-20 18:12:52,-20.3297,-40.2925,87.75,57,0,13.8
189,Ancud,CL,2022-09-20 18:12:15,-41.8697,-73.8203,49.23,72,72,5.23
190,Rockport,US,2022-09-20 18:17:29,28.0206,-97.0544,89.1,74,0,10.36
191,Maungaturoto,NZ,2022-09-20 18:17:29,-36.1,174.3667,52.2,97,86,3.87
192,Ponta Do Sol,PT,2022-09-20 18:12:26,32.6667,-17.1,78.01,91,57,4.68
193,Valer,NO,2022-09-20 18:17:30,60.6785,11.8331,45.07,67,35,1.16
194,Bengkulu,ID,2022-09-20 18:17:30,-3.8004,102.2655,74.59,93,100,4.85
195,Richards Bay,ZA,2022-09-20 18:14:26,-28.783,32.0377,61.92,88,100,10.83
196,Samarai,PG,2022-09-20 18:17:31,-10.6167,150.6667,79.92,86,100,12.1
197,Pangai,TO,2022-09-20 18:17:31,-19.8,-174.35,77.11,78,75,13.8
198,Bandar-E Lengeh,IR,2022-09-20 18:17:32,26.5579,54.8807,87.91,70,0,4.61
199,Fengzhen,CN,2022-09-20 18:17:32,40.4394,113.1536,49.57,51,1,2.46
200,Castro,BR,2022-09-20 18:12:42,-24.7911,-50.0119,71.51,62,76,2.35
201,Forio,IT,2022-09-20 18:17:33,40.7342,13.8646,73.69,76,28,4.0
