City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Rincon,US,83.95,clear sky,32.296,-81.2354,Days Inn Rincon
259,Hasaki,JP,64.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
262,Puerto Ayacucho,VE,81.09,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
263,Nishihara,JP,78.08,few clouds,26.1842,127.7558,Minshuku Agaihama
264,Ambilobe,MG,73.04,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
269,Kavieng,PG,83.37,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
271,Eyl,SO,77.9,scattered clouds,7.9803,49.8164,Amiin Hotel
275,Locri,IT,69.31,scattered clouds,38.2414,16.2623,Grand Hotel President
276,Liverpool,GB,60.75,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
277,Kloulklubed,PW,83.48,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
281,Nakamura,JP,66.13,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
282,Lar,IN,78.71,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
284,Tabas,IR,78.98,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
285,Rapid City,US,76.46,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
286,Belmonte,BR,72.59,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
289,Watsa,CD,62.83,few clouds,3.0372,29.5355,Hôtel Le Pacifique
290,Guabito,PA,82.06,broken clouds,9.5,-82.6167,Cabinas Sanchez Salazar
293,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
294,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
295,Bosaso,SO,89.1,overcast clouds,11.2842,49.1816,Red Sea Hotel
296,Korla,CN,70.21,clear sky,41.7597,86.1469,Gulisitan Hotel
297,Ishigaki,JP,75.33,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
298,Tateyama,JP,67.1,mist,34.9833,139.8667,Tateyama Seaside Hotel
299,North Myrtle Beach,US,85.12,few clouds,33.816,-78.68,Avista Resort
300,Vicosa,BR,74.19,overcast clouds,-20.7539,-42.8819,Vivant Residence
302,Roma,US,64.81,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
