City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Abu Dhabi,AE,24.4667,54.3667,91.51,64,0,4.61,clear sky
178,Yarensk,RU,62.1675,49.0916,40.55,96,6,3.78,clear sky
179,Manohar Thana,IN,24.24,76.8018,77.41,82,100,5.23,overcast clouds
180,Tura,IN,25.5198,90.2201,73.76,96,92,4.76,overcast clouds
181,Veraval,IN,20.9,70.3667,78.69,78,100,8.16,overcast clouds
182,Catuday,PH,16.2923,119.8062,78.42,76,100,2.59,overcast clouds
183,Mayna,RU,54.1135,47.6231,56.84,98,100,3.22,overcast clouds
184,Tukrah,LY,32.5341,20.5791,77.36,80,2,13.67,clear sky
185,Asyut,EG,27.181,31.1837,82.47,35,0,8.57,clear sky
186,Belgrade,RS,44.804,20.4651,47.86,100,0,3.44,clear sky
187,Lompoc,US,34.6391,-120.4579,76.51,58,40,11.5,scattered clouds
188,Nanortalik,GL,60.1432,-45.2371,42.94,73,7,10.69,clear sky
189,Walvis Bay,NA,-22.9575,14.5053,60.1,69,0,7.85,clear sky
190,Zacualpan,MX,21.25,-105.1667,94.62,83,34,7.76,scattered clouds
191,Scarborough,GB,54.2797,-0.4044,60.37,71,33,4.0,scattered clouds
192,Trapani,IT,37.8333,12.6667,75.29,69,20,6.91,few clouds
193,Broken Hill,AU,-31.95,141.4333,53.55,93,99,14.7,overcast clouds
194,Victoria,HK,22.2855,114.1577,83.32,74,100,5.01,overcast clouds
195,Ruidoso,US,33.3317,-105.673,81.05,46,6,6.91,clear sky
196,San Cristobal,VE,7.7669,-72.225,82.58,58,72,1.01,broken clouds
197,Khuzhir,RU,53.1939,107.3397,37.13,67,8,10.56,clear sky
198,Mayo,US,38.8876,-76.5119,87.37,58,0,6.91,clear sky
199,Saint-Augustin,CA,51.226,-58.6502,58.6,54,100,10.69,overcast clouds
200,Kapit,MY,2.0167,112.9333,72.55,96,100,0.78,overcast clouds
201,Lata,PT,40.1629,-8.3327,67.86,80,2,2.86,clear sky
202,Bathurst,AU,-33.4166,149.5806,51.96,94,100,8.95,overcast clouds
203,Luau,AO,-10.7073,22.2247,71.58,74,100,3.62,overcast clouds
204,Arcachon,FR,44.5875,-1.0519,68.32,63,0,4.61,clear sky
205,Havoysund,NO,70.9963,24.6622,50.23,93,100,25.64,light rain
206,De-Kastri,RU,51.4667,140.7833,50.79,65,100,5.64,moderate rain
207,Ambanja,MG,-13.6833,48.45,72.14,79,32,1.88,scattered clouds
208,Dauphin,CA,51.1494,-100.0502,50.14,81,100,11.5,overcast clouds
209,Sovetskiy,RU,61.3614,63.5842,50.4,76,75,12.33,broken clouds
210,Puerto Escondido,MX,15.85,-97.0667,85.03,58,75,9.22,broken clouds
211,Olafsvik,IS,64.8945,-23.7142,50.29,85,100,2.04,overcast clouds
212,Tilik,PH,13.8144,120.2002,79.63,85,100,13.42,overcast clouds
213,Ixtapa,MX,20.7,-105.2,85.23,79,75,8.05,broken clouds
214,Vardo,NO,70.3705,31.1107,42.78,87,75,19.57,light rain
215,Alyangula,AU,-13.8483,136.4192,69.67,94,40,0.0,scattered clouds
216,Dulce Nombre De Culmi,HN,15.1,-85.5333,93.43,75,79,1.25,broken clouds
217,Mitsamiouli,KM,-11.3847,43.2844,75.13,76,67,2.13,light rain
218,Oranjemund,NA,-28.55,16.4333,59.61,61,0,1.1,clear sky
219,Deputatskiy,RU,69.3,139.9,24.84,92,100,9.1,overcast clouds
220,Mumbwa,ZM,-14.9783,27.0619,79.02,23,67,4.0,broken clouds
221,Marzuq,YE,14.4,46.4667,81.55,54,91,4.74,overcast clouds
222,Bulungu,CD,-4.55,18.6,75.52,81,100,2.48,overcast clouds
223,Guangyuan,CN,32.442,105.823,63.54,94,99,3.76,overcast clouds
224,Balkhash,KZ,46.844,74.9804,66.67,46,0,16.24,clear sky
225,Sao Filipe,CV,14.8961,-24.4956,78.76,77,53,9.51,broken clouds
226,Dedougou,BF,12.4667,-3.4667,76.96,83,100,5.84,overcast clouds
227,Svetlogorsk,BY,52.6333,29.7333,46.09,92,100,4.92,overcast clouds
228,Esso,RU,55.9333,158.7,32.25,92,40,8.32,scattered clouds
229,Bueno Brandao,BR,-22.4408,-46.3508,79.34,44,19,7.18,light rain
230,Vaini,TO,-21.2,-175.2,77.16,88,75,12.66,broken clouds
